node_id_start,node_id_end,rel_type,link,status,start_date,end_date,sourceID
11002984,10134373,intermediary_of,intermediary of,,,,Panama Papers
11002984,10122716,intermediary_of,intermediary of,,,,Panama Papers
11002984,10119531,intermediary_of,intermediary of,,,,Panama Papers
11002984,10102322,intermediary_of,intermediary of,,,,Panama Papers
11002984,10085296,intermediary_of,intermediary of,,,,Panama Papers
11002984,10062747,intermediary_of,intermediary of,,,,Panama Papers
11002984,10064892,intermediary_of,intermediary of,,,,Panama Papers
11002984,10064969,intermediary_of,intermediary of,,,,Panama Papers
11002984,10049706,intermediary_of,intermediary of,,,,Panama Papers
11002984,10052003,intermediary_of,intermediary of,,,,Panama Papers
11002984,10051207,intermediary_of,intermediary of,,,,Panama Papers
11002984,10049128,intermediary_of,intermediary of,,,,Panama Papers
11002984,10050219,intermediary_of,intermediary of,,,,Panama Papers
11002984,10041922,intermediary_of,intermediary of,,,,Panama Papers
11002984,10040384,intermediary_of,intermediary of,,,,Panama Papers
11002985,10211525,intermediary_of,intermediary of,,,,Panama Papers
11002985,10171477,intermediary_of,intermediary of,,,,Panama Papers
11002985,10170371,intermediary_of,intermediary of,,,,Panama Papers
11002985,10171501,intermediary_of,intermediary of,,,,Panama Papers
11002985,10170421,intermediary_of,intermediary of,,,,Panama Papers
11002985,10170397,intermediary_of,intermediary of,,,,Panama Papers
11002985,10166417,intermediary_of,intermediary of,,,,Panama Papers
11002985,10165037,intermediary_of,intermediary of,,,,Panama Papers
11003034,10193393,intermediary_of,intermediary of,,,,Panama Papers
11003034,10067023,intermediary_of,intermediary of,,,,Panama Papers
11003034,10057829,intermediary_of,intermediary of,,,,Panama Papers
11003034,10055772,intermediary_of,intermediary of,,,,Panama Papers
11003034,10053311,intermediary_of,intermediary of,,,,Panama Papers
11003071,10054864,intermediary_of,intermediary of,,,,Panama Papers
11003071,10049825,intermediary_of,intermediary of,,,,Panama Papers
11003123,10207803,intermediary_of,intermediary of,,,,Panama Papers
11003123,10168326,intermediary_of,intermediary of,,,,Panama Papers
11003123,10155275,intermediary_of,intermediary of,,,,Panama Papers
11003123,10155907,intermediary_of,intermediary of,,,,Panama Papers
11003123,10154848,intermediary_of,intermediary of,,,,Panama Papers
11003123,10167110,intermediary_of,intermediary of,,,,Panama Papers
11003154,10190627,intermediary_of,intermediary of,,,,Panama Papers
11003184,10011866,intermediary_of,intermediary of,,,,Panama Papers
11003246,10194686,intermediary_of,intermediary of,,,,Panama Papers
11003255,10075061,intermediary_of,intermediary of,,,,Panama Papers
11003255,10055980,intermediary_of,intermediary of,,,,Panama Papers
11003315,10137002,intermediary_of,intermediary of,,,,Panama Papers
11003315,10105254,intermediary_of,intermediary of,,,,Panama Papers
11003315,10091272,intermediary_of,intermediary of,,,,Panama Papers
11003315,10051348,intermediary_of,intermediary of,,,,Panama Papers
11003315,10048898,intermediary_of,intermediary of,,,,Panama Papers
11003325,10209014,intermediary_of,intermediary of,,,,Panama Papers
11003325,10209683,intermediary_of,intermediary of,,,,Panama Papers
11003325,10010078,intermediary_of,intermediary of,,,,Panama Papers
11003325,10081067,intermediary_of,intermediary of,,,,Panama Papers
11003329,10049137,intermediary_of,intermediary of,,,,Panama Papers
11003403,10209970,intermediary_of,intermediary of,,,,Panama Papers
11003403,10197061,intermediary_of,intermediary of,,,,Panama Papers
11003403,10157026,intermediary_of,intermediary of,,,,Panama Papers
11003403,10157039,intermediary_of,intermediary of,,,,Panama Papers
11003403,10156978,intermediary_of,intermediary of,,,,Panama Papers
11003403,10163005,intermediary_of,intermediary of,,,,Panama Papers
11003403,10163298,intermediary_of,intermediary of,,,,Panama Papers
11003403,10160344,intermediary_of,intermediary of,,,,Panama Papers
11003403,10161021,intermediary_of,intermediary of,,,,Panama Papers
11003403,10160192,intermediary_of,intermediary of,,,,Panama Papers
11003403,10068225,intermediary_of,intermediary of,,,,Panama Papers
11003403,10066974,intermediary_of,intermediary of,,,,Panama Papers
11003425,10206108,intermediary_of,intermediary of,,,,Panama Papers
11003425,10058064,intermediary_of,intermediary of,,,,Panama Papers
11003425,10043523,intermediary_of,intermediary of,,,,Panama Papers
11003451,10023764,intermediary_of,intermediary of,,,,Panama Papers
11003451,10207487,intermediary_of,intermediary of,,,,Panama Papers
11003451,10202861,intermediary_of,intermediary of,,,,Panama Papers
11003451,10213272,intermediary_of,intermediary of,,,,Panama Papers
11003451,10211602,intermediary_of,intermediary of,,,,Panama Papers
11003451,10211357,intermediary_of,intermediary of,,,,Panama Papers
11003451,10026377,intermediary_of,intermediary of,,,,Panama Papers
11003451,10020192,intermediary_of,intermediary of,,,,Panama Papers
11003451,10003775,intermediary_of,intermediary of,,,,Panama Papers
11003451,10004161,intermediary_of,intermediary of,,,,Panama Papers
11003451,10020097,intermediary_of,intermediary of,,,,Panama Papers
